,unixtimestamp,close_time,datetime,close_datetime,open,close,low,high,volume
318,1738343700000,1738344599999,2025-01-31 17:15:00,2025-01-31 17:29:59.999,104835.35,104995.75,104688.0,104995.75,165.57058
319,1738344600000,1738345499999,2025-01-31 17:30:00,2025-01-31 17:44:59.999,104995.75,104757.3,104627.45,105025.92,165.5004
320,1738345500000,1738346399999,2025-01-31 17:45:00,2025-01-31 17:59:59.999,104757.29,104580.87,104580.87,104823.48,131.89076
321,1738346400000,1738347299999,2025-01-31 18:00:00,2025-01-31 18:14:59.999,104580.87,104772.31,104499.37,104772.63,137.8993
322,1738347300000,1738348199999,2025-01-31 18:15:00,2025-01-31 18:29:59.999,104772.31,104018.68,104000.0,104820.0,427.66092
323,1738348200000,1738349099999,2025-01-31 18:30:00,2025-01-31 18:44:59.999,104018.67,103096.27,103000.01,104018.67,1020.13046
324,1738349100000,1738349999999,2025-01-31 18:45:00,2025-01-31 18:59:59.999,103096.27,102627.29,102605.0,103181.81,872.38321
325,1738350000000,1738350899999,2025-01-31 19:00:00,2025-01-31 19:14:59.999,102627.29,102670.0,102505.0,103016.66,587.46265
326,1738350900000,1738351799999,2025-01-31 19:15:00,2025-01-31 19:29:59.999,102670.0,102508.33,102138.8,102959.37,575.69984
327,1738351800000,1738352699999,2025-01-31 19:30:00,2025-01-31 19:44:59.999,102508.33,102350.0,102263.12,102659.45,376.84432
328,1738352700000,1738353599999,2025-01-31 19:45:00,2025-01-31 19:59:59.999,102350.01,102312.32,102122.0,102527.92,427.10261
329,1738353600000,1738354499999,2025-01-31 20:00:00,2025-01-31 20:14:59.999,102312.31,102118.09,102059.02,102312.31,330.23745
330,1738354500000,1738355399999,2025-01-31 20:15:00,2025-01-31 20:29:59.999,102118.1,101938.43,101694.87,102271.67,637.4971
331,1738355400000,1738356299999,2025-01-31 20:30:00,2025-01-31 20:44:59.999,101938.42,101855.27,101770.15,102321.42,443.10957
332,1738356300000,1738357199999,2025-01-31 20:45:00,2025-01-31 20:59:59.999,101855.26,101680.02,101603.23,102077.77,598.69625
333,1738357200000,1738358099999,2025-01-31 21:00:00,2025-01-31 21:14:59.999,101680.02,101654.83,101617.47,101948.96,263.4098
334,1738358100000,1738358999999,2025-01-31 21:15:00,2025-01-31 21:29:59.999,101654.84,101625.31,101608.0,101863.15,287.54566
335,1738359000000,1738359899999,2025-01-31 21:30:00,2025-01-31 21:44:59.999,101625.32,101896.01,101560.0,101958.88,294.74595
336,1738359900000,1738360799999,2025-01-31 21:45:00,2025-01-31 21:59:59.999,101896.01,102148.73,101784.68,102166.11,201.87326
337,1738360800000,1738361699999,2025-01-31 22:00:00,2025-01-31 22:14:59.999,102148.72,101995.1,101918.46,102241.64,173.91737
338,1738361700000,1738362599999,2025-01-31 22:15:00,2025-01-31 22:29:59.999,101995.1,102366.06,101949.39,102380.66,148.55783
339,1738362600000,1738363499999,2025-01-31 22:30:00,2025-01-31 22:44:59.999,102366.07,102473.48,102241.24,102480.0,220.67319
340,1738363500000,1738364399999,2025-01-31 22:45:00,2025-01-31 22:59:59.999,102473.49,102261.3,102050.0,102482.94,216.80883
341,1738364400000,1738365299999,2025-01-31 23:00:00,2025-01-31 23:14:59.999,102261.29,102143.2,101955.0,102261.29,240.0791
342,1738365300000,1738366199999,2025-01-31 23:15:00,2025-01-31 23:29:59.999,102143.21,102268.05,102119.12,102268.05,124.31224
343,1738366200000,1738367099999,2025-01-31 23:30:00,2025-01-31 23:44:59.999,102268.04,102290.99,102089.84,102290.99,89.04151
344,1738367100000,1738367999999,2025-01-31 23:45:00,2025-01-31 23:59:59.999,102290.99,102429.56,102230.04,102439.31,133.87954
345,1738368000000,1738368899999,2025-02-01 00:00:00,2025-02-01 00:14:59.999,102429.56,102531.98,102274.5,102570.64,140.4053
346,1738368900000,1738369799999,2025-02-01 00:15:00,2025-02-01 00:29:59.999,102531.98,102282.28,102274.5,102575.06,130.71293
347,1738369800000,1738370699999,2025-02-01 00:30:00,2025-02-01 00:44:59.999,102282.29,102458.65,102213.07,102499.0,130.45236
348,1738370700000,1738371599999,2025-02-01 00:45:00,2025-02-01 00:59:59.999,102458.64,102494.94,102354.97,102515.0,136.55117
349,1738371600000,1738372499999,2025-02-01 01:00:00,2025-02-01 01:14:59.999,102494.94,102606.03,102460.33,102612.37,105.60574
350,1738372500000,1738373399999,2025-02-01 01:15:00,2025-02-01 01:29:59.999,102606.03,102710.38,102550.0,102710.38,117.3201
351,1738373400000,1738374299999,2025-02-01 01:30:00,2025-02-01 01:44:59.999,102710.37,102778.0,102613.14,102780.27,147.6529
352,1738374300000,1738375199999,2025-02-01 01:45:00,2025-02-01 01:59:59.999,102778.99,102566.0,102532.5,102779.0,130.85956
353,1738375200000,1738376099999,2025-02-01 02:00:00,2025-02-01 02:14:59.999,102566.0,102684.15,102408.95,102697.17,132.58634
354,1738376100000,1738376999999,2025-02-01 02:15:00,2025-02-01 02:29:59.999,102684.15,102706.53,102684.14,102783.71,68.41081
355,1738377000000,1738377899999,2025-02-01 02:30:00,2025-02-01 02:44:59.999,102706.53,102662.33,102588.23,102711.69,71.03783
356,1738377900000,1738378799999,2025-02-01 02:45:00,2025-02-01 02:59:59.999,102662.34,102467.77,102400.0,102702.59,164.0002
357,1738378800000,1738379699999,2025-02-01 03:00:00,2025-02-01 03:14:59.999,102466.96,102425.61,102300.0,102518.42,104.57611
358,1738379700000,1738380599999,2025-02-01 03:15:00,2025-02-01 03:29:59.999,102425.62,102346.0,102334.01,102438.81,47.30216
359,1738380600000,1738381499999,2025-02-01 03:30:00,2025-02-01 03:44:59.999,102346.0,102261.22,102198.52,102360.0,111.31208
360,1738381500000,1738382399999,2025-02-01 03:45:00,2025-02-01 03:59:59.999,102261.22,102249.19,102218.34,102289.99,71.55726
361,1738382400000,1738383299999,2025-02-01 04:00:00,2025-02-01 04:14:59.999,102249.19,102201.01,102118.56,102331.16,105.88332
362,1738383300000,1738384199999,2025-02-01 04:15:00,2025-02-01 04:29:59.999,102201.0,102238.06,102170.33,102259.97,65.89905
363,1738384200000,1738385099999,2025-02-01 04:30:00,2025-02-01 04:44:59.999,102238.07,102493.77,102236.55,102503.03,99.88593
364,1738385100000,1738385999999,2025-02-01 04:45:00,2025-02-01 04:59:59.999,102493.77,102316.16,102310.86,102493.77,50.62701
365,1738386000000,1738386899999,2025-02-01 05:00:00,2025-02-01 05:14:59.999,102316.15,102352.4,102235.29,102382.25,90.49733
366,1738386900000,1738387799999,2025-02-01 05:15:00,2025-02-01 05:29:59.999,102352.39,102479.47,102348.0,102479.48,45.36391
367,1738387800000,1738388699999,2025-02-01 05:30:00,2025-02-01 05:44:59.999,102479.47,102549.01,102437.11,102588.57,55.41665
368,1738388700000,1738389599999,2025-02-01 05:45:00,2025-02-01 05:59:59.999,102549.02,102500.0,102481.5,102551.56,63.40708
369,1738389600000,1738390499999,2025-02-01 06:00:00,2025-02-01 06:14:59.999,102500.0,102429.6,102429.59,102577.12,51.62716
370,1738390500000,1738391399999,2025-02-01 06:15:00,2025-02-01 06:29:59.999,102429.59,102354.9,102313.72,102429.59,52.48607
371,1738391400000,1738392299999,2025-02-01 06:30:00,2025-02-01 06:44:59.999,102354.89,102294.07,102250.0,102446.14,60.80456
372,1738392300000,1738393199999,2025-02-01 06:45:00,2025-02-01 06:59:59.999,102294.07,102402.91,102184.46,102402.91,67.05304
373,1738393200000,1738394099999,2025-02-01 07:00:00,2025-02-01 07:14:59.999,102402.91,102443.36,102369.26,102494.69,52.95905
374,1738394100000,1738394999999,2025-02-01 07:15:00,2025-02-01 07:29:59.999,102443.36,102301.44,102265.55,102443.37,69.47769
375,1738395000000,1738395899999,2025-02-01 07:30:00,2025-02-01 07:44:59.999,102301.44,102196.08,102196.07,102380.0,58.18072
376,1738395900000,1738396799999,2025-02-01 07:45:00,2025-02-01 07:59:59.999,102196.08,102166.49,102161.82,102273.33,62.64944
377,1738396800000,1738397699999,2025-02-01 08:00:00,2025-02-01 08:14:59.999,102166.49,102205.63,102166.48,102276.99,66.35876
378,1738397700000,1738398599999,2025-02-01 08:15:00,2025-02-01 08:29:59.999,102205.64,102009.26,101952.0,102205.64,300.11995
379,1738398600000,1738399499999,2025-02-01 08:30:00,2025-02-01 08:44:59.999,102009.27,102011.05,101911.78,102051.98,126.38383
380,1738399500000,1738400399999,2025-02-01 08:45:00,2025-02-01 08:59:59.999,102011.06,102016.85,101836.43,102053.14,156.78763
381,1738400400000,1738401299999,2025-02-01 09:00:00,2025-02-01 09:14:59.999,102016.85,101800.01,101800.01,102016.85,121.34335
